City,Latitude,Longitude
Unknown,45.9546198,-65.1695027
Kelowna,49.8879177,-119.495902
Vancouver,49.2608724,-123.113952
Barcelona,51.0435824,-114.0963002
Toronto,43.6534817,-79.3839347
West Kelowna,49.8585784,-119.582876
Chennai,43.6630581,-79.3676226
Dhaka,49.2298812,-123.0908603
Mumbai,43.8522422,-79.2604904
Belo Horizonte,-19.8965212,-43.9449137
Calgary,51.0456064,-114.057541
London,42.9832406,-81.243372
New Delhi,43.8478375,-79.2531757
Bacolod City,10.6891927,122.9765129
Abbotsford,49.0521162,-122.329479
Burlington,43.3248924,-79.7966835
Seoul,45.7218815,-73.6884037
Nanaimo,49.163877,-123.938122
Manila,49.9589037,-97.1744596
Vernon,50.2668671,-119.2718157
Surrey,49.1913033,-122.849143
Grande Prairie,55.17108,-118.7949873
North Vancouver,49.3206294,-123.0737925
New Westminster,49.2067726,-122.9108818
Belleville,44.2436328,-77.3607597
Taipei,43.6515217,-79.3785962
Niagara Falls,43.1065603,-79.0639039
Nelson,49.494891,-117.290039
Squamish,49.6980743,-123.155861
Edmonton,53.5462055,-113.491241
Hong Kong,49.2294259,-123.005151
Penticton,49.5003268,-119.593249
West Vancouver,49.3311208,-123.159479
Campbell River,50.023071,-125.244153
Richmond,49.163168,-123.137414
Burnaby,49.2433804,-122.972545
Delta,49.0846258,-123.057938
Oshawa,43.8975558,-78.8635324
Mississauga,43.5896231,-79.6443879
Basingstoke,43.1039738,-79.6217549
Port Coquitlam,49.2621643,-122.780542
Langley,49.1039289,-122.657047
Pitt Meadows,49.2207623,-122.690153
Coquitlam,49.2842958,-122.793281
Québec,52.4760892,-71.8258668
Maple Ridge,49.2197345,-122.599707
Winnipeg,49.8955367,-97.1384584
Montréal,45.5031824,-73.5698065
Chilliwack,49.1709788,-121.95255
Kamloops,50.6758269,-120.339415
Duncan,48.7786872,-123.7080446
Mission,49.1589351,-122.283583
Ottawa,45.4208777,-75.6901106
Kolkata,43.2582133,-79.8681919
Trois-Rivières,46.3432325,-72.5428485
Cranbrook,49.5107477,-115.7672772
Seattle,59.5308617,-133.4743562
Delhi,42.8544957,-80.4983709
Hyderabad,43.8942451,-79.2564171
Bulacan,14.770156,120.9835133
Kochi,45.3931414,-75.7518428
Davie,49.2873485,-123.1419766
Whitehorse,60.721571,-135.054932
Wellington,43.7590121,-80.4614994
Sidney,48.6505788,-123.398324
