ID,Property Title,Description,City,Province,Postal Code,Number Of People,Number Of Pets,Bathroom Occupants,Price,Utilities Fees,Total,Available From,Status,Property Type,Property Size,Space Type,Host Prefers,Facilities,Household Items,Occupants,Furnishing Level,Furnishings,Bed Type,Safety Features,Amenities,House Rules,Shared Spaces,Bathroom Type,City_clean
1,Wonderful room with a dog in home,,Kelowna,BC,V1Y 3H9,,,1,704.0,96.0,864.0,2019-09-01,draft,Townhouse,,,,['Wheelchair accessible'],,,,"['Blankets', 'Desk', 'Closet']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock', 'Security alarm']","['Street parking', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Fenced yard', 'Kitchenware']","['No alcohol', 'Scent free']",,,Kelowna
2,Room Availble on Killarney Rd,,Kelowna,BC,V1X 5C6,,,1,616.0,84.0,756.0,2019-08-01,draft,Townhouse,,,,,,,,"['Desk', 'Drawers', 'Lamp']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Window covering', 'Kitchenware']","['No smoking', 'No shoes inside', 'Keep spaces clean']",,,Kelowna
3,Room Availble in Glenmore,,Kelowna,BC,V1V 2C5,,,1,880.0,120.0,1080.0,2019-08-01,draft,Apartment,,,,"['Wheelchair accessible', 'Shared hot tub']",['Toilet Paper'],,,"['Desk', 'Closet', 'Lamp', 'Fridge']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock', 'Security alarm']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Kitchenware']","['No smoking', 'No alcohol', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
5,"Clean room, 10min bus to UBCO",,Kelowna,BC,V1X 2G1,,,1,528.0,72.0,648.0,2019-09-01,draft,House,,,,"['Gym', 'Swimming pool', 'Shared hot tub']",,,,"['Bedding', 'Pillows', 'Closet', 'Drawers']",Single bed,"['Smoke Detector', 'Door lock']","['Street parking', 'Fridge', 'Microwave', 'Air conditioner', 'Kitchenware']",,,,Kelowna
7,Treefort in Jungle,,Kelowna,BC,V1Y 9X3,,,1,752.0,103.0,923.4,2019-08-01,draft,Apartment,,,,"['Gym', 'Swimming pool', 'Common lounge']",['Pantry Items'],,,,Single bed,['First aid kit'],"['Fireplace', 'Tv', 'Kitchenware']","['No smoking', 'No alcohol', 'Keep spaces clean']",,,Kelowna
8,Bedroom in penthouse,,Kelowna,BC,V1V 1R7,,,1,714.0,97.0,875.88,2019-09-01,draft,Apartment,,,,"['Gym', 'Onsite management']","['Pantry Items', 'Laundry Detergent', 'Toilet Paper']",,,"['Bedding', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Twin bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'Door lock', 'Security alarm']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Washer', 'Dryer', 'wifi', 'Kitchenware']","['No smoking', 'No shoes inside', 'Notice on visitors', ""Policy on visitor's stay"", 'Scent free']",,,Kelowna
9,Room on mobile,,Kelowna,BC,V1W 5E9,,,1,879.0,120.0,1078.92,2019-12-01,draft,House,,,,['Wheelchair accessible'],['Condiments'],,,"['Blankets', 'Towels', 'Pillows']",,"['First aid kit', 'Security alarm']","['Street parking', 'Fridge', 'Microwave', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Kitchenware', 'Iron']",,,,Kelowna
11,Spacious Condo in Quail Ridge,,Kelowna,BC,V2S 2R6,,,1,704.0,96.0,864.0,2019-09-01,draft,Apartment,,,,"['Swimming pool', 'Shared hot tub', 'Elevator']",['Pantry Items'],,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Closet', 'Drawers']",Queen bed,['First aid kit'],"['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Kitchenware', 'Iron']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean']",,,Kelowna
12,Room on tablet,,Vernon,BC,V1X 6K5,,,1,440.0,60.0,540.0,2019-08-01,draft,House,,,,,['Dish Detergent'],,,"['Bedding', 'Towels', 'Hangers', 'Closet']",,"['Fire Extinguisher', 'Smoke Detector']","['Free parking on site', 'Fridge', 'Dishwasher', 'Fireplace', 'wifi', 'Tv', 'Kitchenware', 'Iron']","[""Policy on visitor's stay""]",,,Vernon
16,Wow what an awesome room in West Kelowna,,West Kelowna,BC,VC7 P5N,,,1,488.0,67.0,599.4,2019-09-01,draft,Townhouse,,,,"['Swimming pool', 'Shared hot tub']","['Pantry Items', 'Condiments']",,,"['Bedding', 'Hangers', 'Lamp']",Double bed,"['Smoke Detector', 'Carbon Monoxide Detector']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Air conditioner', 'Fireplace', 'Blow dryer', 'Iron', 'Blow dryer']","['No smoking', 'No alcohol', 'Keep spaces clean', 'Scent free']",,,West Kelowna
17,Clean room in a family home in Wilden,,Kelowna,BC,V1V 2W9,,,1,660.0,90.0,810.0,2019-09-01,draft,House,,,,,"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Lamp', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Tv', 'Window covering', 'Private entry', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'No alcohol', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors']",,,Kelowna
18,Hulk's Home can be your home too,,Kelowna,BC,V1Y 9P3,,,1,706.0,96.0,866.16,2019-09-01,draft,House,,,,,,,,,King bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock', 'Security alarm']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Kitchenware']","['No smoking', 'No alcohol', 'Quiet hours', 'Notice on visitors']",,,Kelowna
19,Shack on a garbage heap,,Kelowna,BC,V8; IJIOU09U90,,,1,4.0,1.0,5.4,2019-10-01,draft,Mobile Home,,,,"['Swimming pool', 'Onsite management']",['Dish Detergent'],,,"['Closet', 'Drawers']",,['Smoke Detector'],"['wifi', 'Cable / Satellite', 'Iron']",,,,Kelowna
21,"Short Term Bedroom/Private bath, parking or express bus 2 min away!","Hi I am in West Kelowna and have a bedroom available for short term rental. Private bath. Room has a dresser and desk. Nice area of West K for hiking or walking.  I have an older lab in the home so must like dogs :) We are right on the bus route which connects to the Express to downtown Kelowna and UBCO.  Parking if needed. Must be clean!!  No parties, no smoking on site per bylaws.",West Kelowna,BC,V4T 2Z7,,,1,594.0,81.0,729.0,2020-09-01,draft,Apartment,,,,['Elevator'],['Dish Detergent'],,,"['Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers']",Twin bed,"['Fire Extinguisher', 'Smoke Detector', 'Door lock', 'Security alarm']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Air conditioner', 'wifi', 'Cable / Satellite', 'Window covering', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', ""Policy on visitor's stay""]",,,West Kelowna
22,Bedroom-Private bath & parking (Female Only - 2 min to bus stop-10 min drive to Okanagan College & 1/2 hr drive to UBCO),,Kelowna,BC,V1W 3A8,,,1,627.0,85.0,768.96,2020-01-01,draft,House,,,,,"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Single bed,"['Smoke Detector', 'Security alarm']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'Quiet hours', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
23,Large furnished bedroom (5.2mx3.8 m) near bus stop for UBCO,,Lake Country,BC,V4V 1Y2,,,1,543.0,74.0,666.36,2019-08-01,draft,House,,,,,"['Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Pillows', 'Desk', 'Hangers', 'Drawers']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit']","['Free parking on site', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Window covering', 'Kitchenware']","['No smoking', 'Quiet hours', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Lake Country
24,Vernon B Room,,Vernon,BC,V1T 1H4,,,1,710.0,97.0,871.56,2019-09-01,draft,House,,,,,,,,"['Bedding', 'Blankets', 'Towels', 'Desk', 'Closet', 'Drawers', 'Lamp']",Queen bed,"['Smoke Detector', 'First aid kit']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Window covering', 'Fenced yard', 'Kitchenware']","['No smoking', 'No alcohol', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Vernon
25,,,,,,,,1,660.0,90.0,810.0,2019-11-01,deleted,Other,,,,,,,,,,,,,,,
26,Vernon S Room,,Vernon,BC,V1T 1H4,,,1,572.0,78.0,702.0,2019-09-01,draft,House,,,,,,,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Closet', 'Drawers', 'Lamp']",Queen bed,"['Smoke Detector', 'First aid kit']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Window covering', 'Fenced yard', 'Blow dryer', 'Kitchenware']","['No smoking', 'No alcohol', 'No shoes inside', 'Keep spaces clean']",,,Vernon
27,,,,,,,,1,616.0,84.0,756.0,2019-08-01,deleted,Other,,,,,,,,,,,,,,,
28,Quiet Country Living 12 minutes to UBCO,"Great place to live, work and play!  Quiet when you want it to be but ACTION when you want it! Few minutes to Starbucks, work out, shops ~ everything you need is in Lake Country ~ FIVE MINUTE walk to the beach, a hike up the mountain or the Okanagan Rail Trail.  Check out Lake Country if you are new to it:  Copy and paste this link: https://www.lakecountry.bc.ca",Lake Country,BC,V4V 1A1,,,1,710.0,97.0,871.56,2021-01-01,draft,House,,,,"['Wheelchair accessible', 'Common lounge', 'Onsite management']","['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Window covering', 'Fenced yard', 'Private entry', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Lake Country
29,Close to all amenities!  Close to transit!,"I’m close to lots of shopping and restaurants. Very close to the new build, Canadian tire. I would say best location in town for these places. I have a clean home, it’s comfortable and pretty quiet.
The living room is common area for Watching TV",Kelowna,BC,V1X 7H3,,,1,850.0,0.0,918.0,2023-01-01,listed,Apartment,,,,,"['Condiments', 'Dish Detergent']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Lamp', 'Fridge']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Private entry', 'Kitchenware', 'Iron', 'Blow dryer']","['Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
30,Room in Glenmore,"Due to the location of our home, and our family dynamics, we are looking to welcome and help young students find affordable housing.",Kelowna,BC,V1V 1S9,,,1,616.0,84.0,756.0,2021-08-31,draft,House,,,,,"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Lamp', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Window covering', 'Fenced yard', 'Kitchenware']","['No smoking', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
31,,,,,,,,1,710.0,97.0,871.56,2019-08-01,deleted,Other,,,,,,,,,,,,,,,
32,,,,,,,,1,616.0,84.0,756.0,2019-09-01,deleted,Other,,,,,,,,,,,,,,,
33,,,,,,,,1,528.0,72.0,648.0,2019-08-01,deleted,Other,,,,,,,,,,,,,,,
34,Clean private bedroom,,Nanaimo,BC,V9T 6H9,,,1,585.0,80.0,718.2,2019-08-01,draft,House,,,,,,,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Queen bed,['Smoke Detector'],"['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Kitchenware']",['No smoking'],,,Nanaimo
35,Vernon M Room,Unfurnished home. Owner will have access to home for duration of stay.,Vernon,BC,V1T 1H4,,,1,627.0,85.0,768.96,2019-12-01,draft,House,,,,,['Toilet Paper'],,,['Closet'],,"['Smoke Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Window covering', 'Fenced yard']","['No smoking', 'No shoes inside', 'Keep spaces clean']",,,Vernon
