ID,Property Title,Description,text_input,number_of_people,bedrooms,pets_allowed,property_size,shared_spaces,bathroom_type,nearby_amenities,unique_features
22,Bedroom-Private bath & parking (Female Only - 2 min to bus stop-10 min drive to Okanagan College & 1/2 hr drive to UBCO),,Bedroom-Private bath & parking (Female Only - 2 min to bus stop-10 min drive to Okanagan College & 1/2 hr drive to UBCO). ,unknown,1,unknown,unknown,unknown,private,"bus, unknown",parking
28,Quiet Country Living 12 minutes to UBCO,"Great place to live, work and play!  Quiet when you want it to be but ACTION when you want it! Few minutes to Starbucks, work out, shops ~ everything you need is in Lake Country ~ FIVE MINUTE walk to the beach, a hike up the mountain or the Okanagan Rail Trail.  Check out Lake Country if you are new to it:  Copy and paste this link: https://www.lakecountry.bc.ca","Quiet Country Living 12 minutes to UBCO. Great place to live, work and play!  Quiet when you want it to be but ACTION when you want it! Few minutes to Starbucks, work out, shops ~ everything you need is in Lake Country ~ FIVE MINUTE walk to the beach, a hike up the mountain or the Okanagan Rail Trail.  Check out Lake Country if you are new to it:  Copy and paste this link: https://www.lakecountry.bc.ca",unknown,unknown,unknown,medium,unknown,unknown,"bus, store, recreation centre/pool, school",five minute walk to the beach; hike up the mountain; Okanagan Rail Trail
29,Close to all amenities!  Close to transit!,"I’m close to lots of shopping and restaurants. Very close to the new build, Canadian tire. I would say best location in town for these places. I have a clean home, it’s comfortable and pretty quiet.
The living room is common area for Watching TV","Close to all amenities!  Close to transit!. I’m close to lots of shopping and restaurants. Very close to the new build, Canadian tire. I would say best location in town for these places. I have a clean home, it’s comfortable and pretty quiet.
The living room is common area for Watching TV",unknown,unknown,unknown,unknown,living room,unknown,"bus, store, recreation centre/pool, school and university",none
30,Room in Glenmore,"Due to the location of our home, and our family dynamics, we are looking to welcome and help young students find affordable housing.","Room in Glenmore. Due to the location of our home, and our family dynamics, we are looking to welcome and help young students find affordable housing.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,suitable for students
40,Clean room in Rutland,"Available December 15, 2024.  Room available has single bed, custom built in desk, closet & drawers.  Rec room with fireplace would be for your tv viewing.  Shared kitchen & laundry facilities.  Quiet neighborhood and close to amenities.","Clean room in Rutland. Available December 15, 2024.  Room available has single bed, custom built in desk, closet & drawers.  Rec room with fireplace would be for your tv viewing.  Shared kitchen & laundry facilities.  Quiet neighborhood and close to amenities.",unknown,1,unknown,unknown,"living room, kitchen & laundry facilities",unknown,"bus, store, recreation centre/pool",fireplace
43,Room 2 rent in Glenmore,,Room 2 rent in Glenmore. ,unknown,1,unknown,unknown,unknown,unknown,unknown,unknown
56,Queen bedroom,,Queen bedroom. ,unknown,1,unknown,unknown,unknown,unknown,unknown,Queen bedroom
65,Furnished room near UBCO,"Available September 1st. Looking for a student to share the house. Single occupancy. Furnished room. Quiet house. Shared kitchen and utensils. Includes electricity, WIFI, water and indoor laundry. House is located a block away from bus station to UBCO. 8 min. bus to UBCO. A few blocks away from YMCA-Rutland. When applying kindly provide a description about yourself and a recent picture.","Furnished room near UBCO. Available September 1st. Looking for a student to share the house. Single occupancy. Furnished room. Quiet house. Shared kitchen and utensils. Includes electricity, WIFI, water and indoor laundry. House is located a block away from bus station to UBCO. 8 min. bus to UBCO. A few blocks away from YMCA-Rutland. When applying kindly provide a description about yourself and a recent picture.",1,unknown,unknown,medium,kitchen,unknown,"bus, store, recreation centre/pool","furnished room, electricity, WIFI, water, indoor laundry"
96,Clean Room with own bathroom,,Clean Room with own bathroom. ,unknown,unknown,unknown,unknown,unknown,private,unknown,unknown
100,Your Spacious Room Close to bus transit 10min. to UBCO (second room),,Your Spacious Room Close to bus transit 10min. to UBCO (second room). ,unknown,1,unknown,medium,unknown,unknown,"bus, school (UBCO)",spacious
105,Clean bedroom with own bathroom by Costco (Female Only),,Clean bedroom with own bathroom by Costco (Female Only). ,unknown,1,unknown,unknown,unknown,private,unknown,none
111,Furnished bedroom with private bathroom,,Furnished bedroom with private bathroom. ,unknown,1,unknown,unknown,unknown,private,unknown,furnished
114,Clean furnished rooms with shared bath and private living space in Glenmore,,Clean furnished rooms with shared bath and private living space in Glenmore. ,unknown,unknown,unknown,unknown,"living space,bath",shared,unknown,unknown
122,Newly renovated in-law suite in Old Glenmore,,Newly renovated in-law suite in Old Glenmore. ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Newly renovated
123,Semi-Private Basement Suite in our Family Home,"Available SEPTEMBER. We are looking for an international student. We like to learn about different cultures, customs and countries. You will have your own private bedroom/washroom/cooking facilities in our family house.  You will have one off-road parking space allocated to you. 
We are a busy home with small kids (aged 6 and 9) and one shift worker (RCMP dispatcher). We keep quiet hours at night and have a busy household mornings and weekends. We will share a large yard. We look forward to sharing meals with you monthly.","Semi-Private Basement Suite in our Family Home. Available SEPTEMBER. We are looking for an international student. We like to learn about different cultures, customs and countries. You will have your own private bedroom/washroom/cooking facilities in our family house.  You will have one off-road parking space allocated to you. 
We are a busy home with small kids (aged 6 and 9) and one shift worker (RCMP dispatcher). We keep quiet hours at night and have a busy household mornings and weekends. We will share a large yard. We look forward to sharing meals with you monthly.",unknown,1,unknown,medium,"large yard, monthly meals",private,unknown,off-road parking space
124,Furnished bedroom in a family setting in central Rutland.,"House located on a bus route just outside the house for pick up and return to Okanagan College, UBCO, a mall for shopping and downtown Kelowna. Walking distance to a grocery store and coffee shops.  We have a beautiful back yard with fruits and vegetables that we grow and a yard to relax in. You will have your own fridge and shelf space for your groceries. You will also have access to the washer and dryer for your clothes.  A tv with cable and a desk will be provided if you request.","Furnished bedroom in a family setting in central Rutland.. House located on a bus route just outside the house for pick up and return to Okanagan College, UBCO, a mall for shopping and downtown Kelowna. Walking distance to a grocery store and coffee shops.  We have a beautiful back yard with fruits and vegetables that we grow and a yard to relax in. You will have your own fridge and shelf space for your groceries. You will also have access to the washer and dryer for your clothes.  A tv with cable and a desk will be provided if you request.",unknown,1,unknown,unknown,"common areas (house), unknown if yard",unknown,"bus, store, recreation centre/pool, mall; downtown Kelowna, Okanagan College, UBCO","fruits and vegetables garden, yard for relaxation, fridge, shelf space, washer and dryer, tv with cable, desk (if requested)"
134,Comfy room in bright downtown condo (for female student),"Large, bright, clean condo close to downtown, lake and hospital. Easy walking distance to grocery store. Right on bus route, bike lanes. Shared well-stocked kitchen, living/dining area. Netflix, Chromecast (no cable). Indoor parking available. Looking for quiet, mature female roommate for mature female resident (and needy cat!). Ideal for working professional.","Comfy room in bright downtown condo (for female student). Large, bright, clean condo close to downtown, lake and hospital. Easy walking distance to grocery store. Right on bus route, bike lanes. Shared well-stocked kitchen, living/dining area. Netflix, Chromecast (no cable). Indoor parking available. Looking for quiet, mature female roommate for mature female resident (and needy cat!). Ideal for working professional.",1,unknown,true,large,"kitchen, living/dining area",unknown,"bus, grocery store","Netflix, Chromecast"
137,The Marilyn Monroe room at The White House on Long Lake (Female Only),,The Marilyn Monroe room at The White House on Long Lake (Female Only). ,1,unknown,unknown,unknown,unknown,unknown,unknown,The Marilyn Monroe room
